Date,Name,Year,Letterboxd URI,Rating
2022-05-05,Cartão Vermelho,1994,https://boxd.it/eMoC,1
2022-05-07,Mother,2019,https://boxd.it/lUvg,3.5
2022-05-08,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,4
2022-05-10,The Prom,2020,https://boxd.it/mAyG,3
2022-05-13,Something Like That,2017,https://boxd.it/hhg4,3
2022-05-18,"Jump, Darling",2020,https://boxd.it/rOgw,4
2022-05-19,Twin Peaks,1990,https://boxd.it/g8pk,5
2022-05-19,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,3.5
2022-05-23,System Crasher,2019,https://boxd.it/kO1W,4.5
2022-06-01,David Lynch: The Art Life,2016,https://boxd.it/eASq,4.5
2022-06-02,My Best Part,2020,https://boxd.it/oAXU,2.5
2022-06-05,Twin Peaks: The Return,2017,https://boxd.it/hN9O,5
2022-06-07,Respect,2021,https://boxd.it/lPDE,3
2022-06-08,Plus One,2019,https://boxd.it/inpo,4.5
2022-06-12,(500) Days of Summer,2009,https://boxd.it/1EmM,4.5
2022-06-12,Eraserhead,1977,https://boxd.it/299u,3.5
2022-06-13,All About My Mother,1999,https://boxd.it/2b9c,4
2022-06-13,The Actress,2021,https://boxd.it/vcJS,4
2022-06-13,House Comes with a Bird,2022,https://boxd.it/zZiu,4.5
2022-06-13,Gregory Go Boom,2013,https://boxd.it/5UFe,3.5
2022-06-16,Executive Order,2020,https://boxd.it/mHQC,3
2022-06-19,Emergency,2022,https://boxd.it/uRui,5
2022-06-20,The Second Mother,2015,https://boxd.it/9Ydm,5
2022-06-26,Incident by a Bank,2010,https://boxd.it/5A7w,4
2022-06-27,Shiva Baby,2020,https://boxd.it/oIv0,4.5
2022-06-30,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-07-04,Little Miss Sunshine,2006,https://boxd.it/29EW,4
2022-07-07,Sunday Morning,2022,https://boxd.it/ySTw,4.5
2022-07-07,Scenes with Beans,1976,https://boxd.it/kWGo,4
2022-07-07,The Booth,2019,https://boxd.it/nA4I,4
